OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death
1,01,Schleswig-Holstein,Land,2896712,15,2426,2020-04-19T22:00:00.000Z,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,83.7501277310275,45737314116.8701,2881496.1295035,67
2,02,Hamburg,Freie und Hansestadt,1841179,6,4185,2020-04-19T22:00:00.000Z,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,227.300007223632,2089396054.82129,418800.187474072,91
3,03,Niedersachsen,Land,7982448,9,8900,2020-04-19T22:00:00.000Z,03,3fd77024-c29b-4843-9be8-682ad48e60c9,111.494619194513,129983613598.973,4008988.2951652,291
4,04,Bremen,Freie Hansestadt,682986,5,604,2020-04-19T22:00:00.000Z,04,4132268b-54de-4327-ac1e-760e915112f1,88.4351948649021,1119156745.43408,335717.737774516,25
5,05,Nordrhein-Westfalen,Land,17932651,10,28971,2020-04-19T22:00:00.000Z,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,161.554474015024,87829361998.0295,2648672.50917441,857
6,06,Hessen,Land,6265809,7,7177,2020-04-19T22:00:00.000Z,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,114.542272195019,52359125900.6655,2148243.6201819,240
7,07,Rheinland-Pfalz,Land,4084844,11,5523,2020-04-19T22:00:00.000Z,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,135.207121740757,47838767393.1633,1774430.12830596,107
8,08,Baden-Württemberg,Land,11069533,1,28253,2020-04-19T22:00:00.000Z,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,255.232086123236,81517323536.8628,2544320.39805124,982
9,09,Bayern,Freistaat,13076721,2,37849,2020-04-19T22:00:00.000Z,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,289.438002080185,163485540875.077,3898617.90542911,1286
10,10,Saarland,Land,990509,12,2314,2020-04-19T22:00:00.000Z,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,233.617261428215,6060691818.01318,562678.876124348,91
11,11,Berlin,Land,3644826,3,5196,2020-04-19T22:00:00.000Z,11,c7033073-2bb0-486b-97af-5b3c639e7219,142.558245578801,2402458320.59863,363979.182407356,94
12,12,Brandenburg,Land,2511917,4,2238,2020-04-19T22:00:00.000Z,12,b560af89-5895-4be4-96f8-0f581cd8a858,89.0953005214742,79801970800.2686,2571385.42188057,66
13,13,Mecklenburg-Vorpommern,Land,1609675,8,653,2020-04-19T22:00:00.000Z,13,a27f5628-e790-45be-898d-f0a6841c0f7e,40.5671952412754,65873523064.0757,4131181.10875485,15
14,14,Sachsen,Freistaat,4077937,13,4229,2020-04-19T22:00:00.000Z,14,256d2405-a7c8-4fec-93df-29f3c808cd25,103.704397591233,46626497892.9951,2048279.98573376,109
15,15,Sachsen-Anhalt,Land,2208321,14,1369,2020-04-19T22:00:00.000Z,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,61.992799054123,54177007537.6553,1920386.52842308,30
16,16,Thüringen,Freistaat,2143145,16,1785,2020-04-19T22:00:00.000Z,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,83.288811536317,40685205073.9761,2015719.49965031,53
