PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	header	virus	country	ID	info	date	division	city	location	label
BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	-28.7537618364182	-0.189465230827539	0.290774578735842	-3.96334024971959	1.5124513041645	-2.86512087344872	6.06852816852986	-7.63663171400901	5.06119848989694	-6.7160007324306	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	BetaCoV	Germany	2013281	2020	2020-03-15	Rheinland-Pfalz	Bad Duerkheim Kreis	Rheinland-Pfalz	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020
BetaCoV/Berlin/2011777/2020	7.3784800871903	-0.717385300347353	-0.497120997222165	-3.72122864996512	1.03345344354179	-0.245216750423877	0.126126476389069	-0.0774884900522161	0.771050901892145	-2.83556966449068	BetaCoV/Berlin/2011777/2020	BetaCoV	Germany	2011777	2020	2020-03-13	Berlin	Berlin	Berlin	BetaCoV/Berlin/2011777/2020
BetaCoV/Berlin/2011915/2020	7.05619655449401	-0.450413763897863	-0.853012365121297	-1.7147297266888	0.255952104563683	-0.31854120921424	0.446392790646636	-0.28729031910763	0.45768161630144	0.52255237319085	BetaCoV/Berlin/2011915/2020	BetaCoV	Germany	2011915	2020	2020-03-13	Berlin	Berlin	Berlin	BetaCoV/Berlin/2011915/2020
BetaCoV/Berlin/572006643/2020	7.29905887426294	0.850321696958045	0.789810752335641	-0.914665930621565	-0.106103898886844	0.23078136049814	0.0610644564824532	-1.49910340993083	0.290728756512719	0.967298922805247	BetaCoV/Berlin/572006643/2020	BetaCoV	Germany	572006643	2020	2020-03-05	Berlin	Berlin	Berlin	BetaCoV/Berlin/572006643/2020
BetaCoV/Berlin/572007091/2020	7.3042715557992	-0.461890165094342	-0.670139921385849	-1.95468161502674	0.407197447076115	0.256853150485242	0.129243876439695	0.133196648848434	-0.241800069843531	-0.165093605900647	BetaCoV/Berlin/572007091/2020	BetaCoV	Germany	572007091	2020	2020-03-07	Berlin	Berlin	Berlin	BetaCoV/Berlin/572007091/2020
BetaCoV/Berlin/572007102/2020	7.65695725866184	-0.433894425967975	-0.465254398212511	-1.77668609309563	0.450285608470908	-0.0618964303205721	0.00101572835047869	-0.0540356864539284	-0.296104622568544	-0.275826218099241	BetaCoV/Berlin/572007102/2020	BetaCoV	Germany	572007102	2020	2020-03-07	Berlin	Berlin	Berlin	BetaCoV/Berlin/572007102/2020
BetaCoV/Berlin/ChVir1670/2020	7.61232920523901	-0.643389335384202	-1.04994444346634	-2.0122768179449	0.469347932697199	-0.242395925350609	-0.658915950435949	-0.0512373315868995	-0.440705094494836	-0.591327323197165	BetaCoV/Berlin/ChVir1670/2020	BetaCoV	Germany	ChVir1670	2020	2020-03-02	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1670/2020
BetaCoV/Berlin/ChVir1716/2020	7.65695725866184	-0.433894425967975	-0.465254398212511	-1.77668609309563	0.450285608470908	-0.0618964303205721	0.00101572835047869	-0.0540356864539284	-0.296104622568544	-0.275826218099241	BetaCoV/Berlin/ChVir1716/2020	BetaCoV	Germany	ChVir1716	2020	2020-03-04	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1716/2020
BetaCoV/Berlin/ChVir1897/2020	7.14601768558189	0.982997818254833	0.491792817135582	-0.981322991549405	0.41877065520089	0.55426850346871	0.292126118503365	-1.79205926839423	0.737951705866281	0.810938328170417	BetaCoV/Berlin/ChVir1897/2020	BetaCoV	Germany	ChVir1897	2020	2020-03-17	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1897/2020
BetaCoV/Berlin/ChVir1900/2020	-26.8418582581114	0.665322788690301	-9.6439376887968	-6.0923752413062	16.4370417457295	4.49974080817707	4.07626611425698	-6.49992939186687	4.78244532513591	-16.0702227254681	BetaCoV/Berlin/ChVir1900/2020	BetaCoV	Germany	ChVir1900	2020	2020-03-17	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1900/2020
BetaCoV/Berlin/ChVir1919/2020	7.65695725866184	-0.433894425967975	-0.465254398212511	-1.77668609309563	0.450285608470908	-0.0618964303205721	0.00101572835047869	-0.0540356864539284	-0.296104622568544	-0.275826218099241	BetaCoV/Berlin/ChVir1919/2020	BetaCoV	Germany	ChVir1919	2020	2020-03-05	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1919/2020
BetaCoV/Berlin/ChVir1959/2020	7.94570897579127	-0.646786523569433	-0.296373529481947	-1.79944420018025	0.167815671752733	-0.509013980130826	0.493301771552615	-0.0961512896096847	0.428129621274065	-1.05782166352922	BetaCoV/Berlin/ChVir1959/2020	BetaCoV	Germany	ChVir1959	2020	2020-03-07	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1959/2020
BetaCoV/Berlin/ChVir1960/2020	6.96037819414643	0.0457077824889357	-0.815703713673399	-2.06884304057758	1.16408101455187	0.721399187925783	0.0292142649696864	0.61374962802534	-0.204395580317801	0.741437703655314	BetaCoV/Berlin/ChVir1960/2020	BetaCoV	Germany	ChVir1960	2020	2020-03-07	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1960/2020
BetaCoV/Berlin/ChVir1963/2020	-43.1404199903094	1.11013788947569	-19.385522931134	2.22530060629807	8.53484831634831	-8.64541655478275	14.3507300613997	-11.6319091432114	19.0778559650974	-5.55239463444616	BetaCoV/Berlin/ChVir1963/2020	BetaCoV	Germany	ChVir1963	2020	2020-03-07	Berlin	Berlin	Berlin	BetaCoV/Berlin/ChVir1963/2020
