"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"header"	"virus"	"country"	"ID"	"info"	"date"	"division"	"city"	"location"	"label"
"BetaCoV/Bad-Duerkheim-Kreis/2013281/2020"	-127.792435469339	5.84743533426008	-1.03415631348606	0.632003837677011	-1.58661541648152	0.635690733536333	-1.94465721343192	-1.92636139083596	0.360596031559475	-0.964669591949358	"BetaCoV/Bad-Duerkheim-Kreis/2013281/2020"	"BetaCoV"	"Germany"	"2013281"	"2020"	"2020-03-15"	"Rheinland-Pfalz"	"Bad Duerkheim Kreis"	"Rheinland-Pfalz"	"BetaCoV/Bad-Duerkheim-Kreis/2013281/2020"
"BetaCoV/Berlin/2011777/2020"	-131.116084417126	4.41375230130844	-0.672332560897843	0.38392709632443	-0.915319089662444	0.376017348473251	-1.03358195673641	-0.475568724136293	0.101710192297525	-0.367393075774768	"BetaCoV/Berlin/2011777/2020"	"BetaCoV"	"Germany"	"2011777"	"2020"	"2020-03-13"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/2011777/2020"
"BetaCoV/Berlin/2011915/2020"	-131.040764343517	3.15971715878874	-0.430327199491593	0.277068870400716	-0.571463192180118	0.228955651049307	-0.620684989119512	-0.26787665360929	0.0545043572806391	-0.185161773152303	"BetaCoV/Berlin/2011915/2020"	"BetaCoV"	"Germany"	"2011915"	"2020"	"2020-03-13"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/2011915/2020"
"BetaCoV/Berlin/572006643/2020"	-131.142624550645	-5.17435138663867	1.21809378182187	0.225387196645693	2.4402215638802	-1.08190190582643	3.60036567702821	-1.52974857619587	1.06162047751559	3.0400720554469	"BetaCoV/Berlin/572006643/2020"	"BetaCoV"	"Germany"	"572006643"	"2020"	"2020-03-05"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/572006643/2020"
"BetaCoV/Berlin/572007091/2020"	-131.052074086195	3.08054672076977	-0.380816539228438	0.271392821885841	-0.566250570931823	0.238885849154621	-0.566848664040368	-0.232115747256583	-0.0209727087131898	-0.248592156774019	"BetaCoV/Berlin/572007091/2020"	"BetaCoV"	"Germany"	"572007091"	"2020"	"2020-03-07"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/572007091/2020"
"BetaCoV/Berlin/572007102/2020"	-131.109535148496	3.15897209337031	-0.429244358315059	0.276163788956447	-0.573428368785191	0.230164528079849	-0.621248828007214	-0.26714332039503	0.0523908234347241	-0.185866917798274	"BetaCoV/Berlin/572007102/2020"	"BetaCoV"	"Germany"	"572007102"	"2020"	"2020-03-07"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/572007102/2020"
"BetaCoV/Berlin/ChVir1670/2020"	-131.113427431508	4.34325598210647	-0.615351021515664	0.42474121914001	-0.946972128630658	0.37943553185841	-1.06376936427737	-0.511116386271664	0.133907533307641	-0.367801734081391	"BetaCoV/Berlin/ChVir1670/2020"	"BetaCoV"	"Germany"	"ChVir1670"	"2020"	"2020-03-02"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/ChVir1670/2020"
"BetaCoV/Berlin/ChVir1716/2020"	-131.109535148496	3.15897209337031	-0.429244358315059	0.276163788956447	-0.573428368785191	0.230164528079849	-0.621248828007214	-0.26714332039503	0.0523908234347241	-0.185866917798274	"BetaCoV/Berlin/ChVir1716/2020"	"BetaCoV"	"Germany"	"ChVir1716"	"2020"	"2020-03-04"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/ChVir1716/2020"
"BetaCoV/Berlin/ChVir1897/2020"	-131.140977583521	-10.6271641090666	3.1064373212964	0.0810769022350776	4.74561231876303	0.141222245660928	8.41622776116325	2.27340109314052	-1.79025582198845	-4.50397830589177	"BetaCoV/Berlin/ChVir1897/2020"	"BetaCoV"	"Germany"	"ChVir1897"	"2020"	"2020-03-17"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/ChVir1897/2020"
"BetaCoV/Berlin/ChVir1900/2020"	-128.145534133692	3.92316102398985	-0.92890755191502	0.441213259795168	-0.73055594992674	0.404445125159407	-0.639760086434082	0.0572205495490707	0.0687309666671041	-0.665441075874725	"BetaCoV/Berlin/ChVir1900/2020"	"BetaCoV"	"Germany"	"ChVir1900"	"2020"	"2020-03-17"	"Berlin"	"Berlin"	"Berlin"	"BetaCoV/Berlin/ChVir1900/2020"
